1.452 4 F= -.43868969E+02 E0= -.43868898E+02 d E =-.458058E-03
1.451 2 F= -.43869022E+02 E0= -.43868944E+02 d E =-.305832E-03
1.450 2 F= -.43871147E+02 E0= -.43871069E+02 d E =-.145837E-03
1.449 2 F= -.43872852E+02 E0= -.43872775E+02 d E =-.125135E-03
1.448 1 F= -.43874223E+02 E0= -.43874149E+02 d E =-.438742E+02
1.447 1 F= -.43875455E+02 E0= -.43875382E+02 d E =-.438755E+02
1.446 1 F= -.43876441E+02 E0= -.43876369E+02 d E =-.438764E+02
1.445 1 F= -.43877144E+02 E0= -.43877072E+02 d E =-.438771E+02
1.444 1 F= -.43877604E+02 E0= -.43877534E+02 d E =-.438776E+02
1.443 1 F= -.43877778E+02 E0= -.43877707E+02 d E =-.438778E+02
1.442 1 F= -.43877710E+02 E0= -.43877639E+02 d E =-.438777E+02
1.441 1 F= -.43877355E+02 E0= -.43877283E+02 d E =-.438774E+02
1.440 2 F= -.43876834E+02 E0= -.43876759E+02 d E =-.828384E-04
1.439 2 F= -.43875994E+02 E0= -.43875917E+02 d E =-.119352E-03
1.438 2 F= -.43874897E+02 E0= -.43874819E+02 d E =-.174444E-03
1.437 2 F= -.43873538E+02 E0= -.43873459E+02 d E =-.242381E-03
1.436 2 F= -.43871917E+02 E0= -.43871838E+02 d E =-.328837E-03
